Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IGFBP2,3485,Gene,mRNA,up-regulation,NA,IGF SIGNALLING PATHWAY,Biomarkers measurements in serum; Pulmonary function tests; Statistical analysis etc.,no,Serum IGFBP-1 and -2 are increased in idiopathic pulmonary fibrosis and IGFBP-2 may be reduced by anti-fibrosing therapy. IGFBPs may be promising biomarkers in IPF.,27215343,Raised serum levels of IGFBP-1 and IGFBP-2 in idiopathic pulmonary fibrosis,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IGFBP1,3484,Gene,mRNA,up-regulation,NA,IGF SIGNALLING PATHWAY,Biomarkers measurements in serum; Pulmonary function tests; Statistical analysis etc.,no,Serum IGFBP-1 and -2 are increased in idiopathic pulmonary fibrosis and IGFBP-2 may be reduced by anti-fibrosing therapy. IGFBPs may be promising biomarkers in IPF.,27215343,Raised serum levels of IGFBP-1 and IGFBP-2 in idiopathic pulmonary fibrosis,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SFTPD,6441,Gene,mRNA,up-regulation,NA,NA,"Change in FVC and DLco, and definition of deterioration; Changes in SP-A, SP-D, and KL-6; Statistical analysis etc.",no,"Serum levels of SP-A, SP-D, and KL-6 have been shown to be useful in predicting prognosis and monitoring disease activity in patients with IPF.",32005219,Surfactant protein A as a biomarker of outcomes of anti-fibrotic drug therapy in patients with idiopathic pulmonary fibrosis,2020
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MUC1,4582,Gene,mRNA,up-regulation,NA,NA,"Change in FVC and DLco, and definition of deterioration; Changes in SP-A, SP-D, and KL-6; Statistical analysis etc.",no,"Serum levels of SP-A, SP-D, and KL-6 have been shown to be useful in predicting prognosis and monitoring disease activity in patients with IPF.",32005219,Surfactant protein A as a biomarker of outcomes of anti-fibrotic drug therapy in patients with idiopathic pulmonary fibrosis,2020
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SFRP2,6423,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,qRT-PCR; Immunohistochemistry; Bleomycin exposure etc.,no,SFRP2 is almost fourfold upregulated in the diseased tissue.,16998095,Gene expression profiling of familial and sporadic interstitial pneumonia,2007
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,THY1,7070,Gene,mRNA,dna?hypermethylation,NA,NA,qRT-PCR;  Immunohistochemistry etc.,no,"Significant global hypermethylation was detected in hypoxic fibroblasts relative to normoxic controls and was accompanied by increased expression of myofibroblast markers. Thy-1 mRNA expression was suppressed in hypoxic cells, which was restored with the demethylating agent 5-aza-2'-deoxycytidine.",22938014,Hypoxia-induced DNA hypermethylation in human pulmonary fibroblasts is associated with Thy-1 promoter methylation and the development of a pro-fibrotic phenotype,2012
lung,pulmonary_fibrosis,homo_sapiens,SMAD3,4088,Gene,mRNA,dna hypomethylation,NA,NA,PCR; ELISA; Mass spectrometry etc.,no,"Smad3 gene hypomethylation might promote pulmonary fibrosis in Uygur PBL patients via increased Smad3 mRNA expression. Smad3 methylation, Smad3 mRNA expression and TGF-B level were correlated with the number of pigeons bred by patients.",28562330,The correlation between pulmonary fibrosis and methylation of peripheral Smad3 in cases of pigeon breeder's lung in a Chinese Uygur population,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SRF,6722,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"SRF is a transcription factor that is activated by the p38 MAP kinase pathway [24] and by increased extracellular matrix stiffness through mechanotransduction [25]. SRF is essential for collagen-1 expression by lung fibroblasts in vitro [26], while inhibition of the SRF pathway by the small molecule CCG-203971 attenuates lung fibrogenesis in the bleomycin-induced lung fibrosis model in mice [27]. Interestingly, SRF drives CTGF expression in fibroblasts [28], raising the hypothesis that the stable overexpression of the SRF/CTGF axis may contribute to the heritable profibrotic phenotype of lung fibroblasts in IPF.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL12,6387,Gene,mRNA,up-regulation,CXCR4,NA,qRT-PCR; Immunohistochemistry; Bleomycin exposure etc.,no,"The chemokine CXCL12, or stromal cell-derived factor 1 (SDF-1), is an important regulator of hematopoietic cell development, migration, and proliferation, and is the only known ligand for the CXCR4 receptor.",16998095,Gene expression profiling of familial and sporadic interstitial pneumonia,2007
lung,cystic_fibrosis,homo_sapiens,CFTR,1080,Gene,mRNA,up-regulation,CFTR,NA,Dual-luciferase reporter assay; qRT-PCR; In situ Hybridization etc.,no,The Cystic Fibrosis Transmembrane conductance Regulator (CFTR) is a chloride channel that plays a critical role in the lung by maintaining fluid homeostasis. Absence or malfunction of CFTR leads to Cystic Fibrosis; Chronic cigarette smoking up-regulates miR-101 and that this miRNA could contribute to suppression of CFTR in the lungs of COPD patients.,23226399,MiR-101 and miR-144 regulate the expression of the CFTR chloride channel in the lung,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGER2,5732,Gene,mRNA,dna hypermethylation,NA,PTEN-AKT signaling pathway,Global DNA methylation assay; qRT-PCR; Immunoblot etc.,no,The down-regulation of PTGER2 and consequent PGE2 resistance are both mediated by DNA hypermethylation;  Increased Akt signal transduction as a novel mechanism that promotes DNA hypermethylation during fibrogenesis.,20889571,Hypermethylation of PTGER2 confers prostaglandin E2 resistance in fibrotic fibroblasts from humansand mice,2010
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,AGTR1,185,Gene,mRNA,up-regulation,NA,MKK1/MKK2 SIGNALLING PATHWAY,qRT-PCR;  Immunohistochemistry etc.,no,The finding that AGTR1 localizes to fibroblastic foci in IPF biopsies supports the potential relevance of the angiotensin system in this disease and suggests that the pro-fibrotic role of AGTR1 in IPF is not limited to epithelial cells [31]. Further studies are needed to assess the functional effects of AGTR1 stimulation in lung fibroblasts and to evaluate the biological role of AGTR1 in lung fibrosis.,15571627,Gene expression profiling reveals novel TGFbeta targets in adult lung fibroblasts,2004
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IL33,90865,Gene,mRNA,up-regulation,NA,NA,ELISA; Statistical analysis etc.,no,The IL-33 and TSLP levels in BAL fluids may be useful for differentiating IPF from other chronic interstitial lung diseases.,28202030,Upregulation of interleukin-33 and thymic stromal lymphopoietin levels in the lungs of idiopathic pulmonary fibrosis,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TSLP,85480,Gene,mRNA,up-regulation,NA,NA,ELISA; Statistical analysis etc.,no,The IL-33 and TSLP levels in BAL fluids may be useful for differentiating IPF from other chronic interstitial lung diseases.,28202030,Upregulation of interleukin-33 and thymic stromal lymphopoietin levels in the lungs of idiopathic pulmonary fibrosis,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,XCL1,6375,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL17,6361,Gene,mRNA,up-regulation,CCR4,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL5,6352,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL9,4283,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL10,3627,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL11,6373,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL15,6359,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL1,2919,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL6,6372,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL7,6354,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL17,284340,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL13,10563,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL14,6358,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL14,9547,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"The Myeloid-enriched IPF subset (Subset 1) had increased expression of XCL1, CCL17, CCL5, CXCL9, CXCL10 and CXCL11, whereas the Ciliated epithelium-enriched IPF subset (Subset 2) had increased expression of CCL15, CXCL1, CXCL6, CCL7, CXCL17, CXCL13, CCL14 and CXCL14.",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TFPI,7035,Gene,mRNA,up-regulation,NA,NA,ELISA; Immunohistochemistry etc.,no,The TF and TFPI levels in BAL fluid supernatant were significantly higher in IPF patients than in normal controls.,10946084,Relevance of tissue factor and tissue factor pathway inhibitor for hypercoagulable state in the lungs of patients with idiopathic pulmonary fibrosis,2000
lung,cystic_fibrosis,homo_sapiens,TLR2,7097,Gene,mRNA,promoter hypomethylation,NA,NA,Dual-luciferase reporter assay; qRT-PCR;  etc.,no,TLR2 expression is epigenetically up-regulated via promoter hypomethylation in CF bronchial epithelial cells and suggest that TLR2 overexpression or prolonged activation of TLR2 signaling might be critical in CF pathogenesis.,16478769,Promoter hypomethylation of Toll-like receptor-2 gene is associated with increased proinflammatoryresponse toward bacterial peptidoglycan in cystic fibrosis bronchial epithelial cells,2006
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NOX4,50507,Gene,mRNA,dysregulation,TGFBR2; NOX4,NA,Dual-luciferase reporter assay;  ISH etc.,no,"Transforming growth factor-B1 (TGF-B1) stimulates the production of NADPH oxidase 4 (NOX4)-dependent ROS, promoting lung fibrosis (LF). MiR-9-5p has an inhibitory effect on TGF-B receptor type II (TGFBR2) and NOX4 expression. Increased expression of miR-9-5p abrogates TGF-B1-dependent myofibroblast phenotypic transformation. In the mouse model of bleomycin-induced LF, miR-9-5p dramatically reduces fibrogenesis and inhibition of miR-9-5p prevents its anti-fibrotic effect both in vitro and in vivo. In lung specimens from patients with IPF, high levels of miR-9-5p are found. TGF-B1 induces miR-9-5p expression as a self-limiting homeostatic response.",26315535,MiR-9-5p suppresses pro-fibrogenic transformation of fibroblasts and prevents organ fibrosis by targeting NOX4 and TGFBR2,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFBR2,7048,Gene,mRNA,dysregulation,TGFBR2; NOX4,NA,Dual-luciferase reporter assay;  ISH etc.,no,"Transforming growth factor-B1 (TGF-B1) stimulates the production of NADPH oxidase 4 (NOX4)-dependent ROS, promoting lung fibrosis (LF). MiR-9-5p has an inhibitory effect on TGF-B receptor type II (TGFBR2) and NOX4 expression. Increased expression of miR-9-5p abrogates TGF-B1-dependent myofibroblast phenotypic transformation. In the mouse model of bleomycin-induced LF, miR-9-5p dramatically reduces fibrogenesis and inhibition of miR-9-5p prevents its anti-fibrotic effect both in vitro and in vivo. In lung specimens from patients with IPF, high levels of miR-9-5p are found. TGF-B1 induces miR-9-5p expression as a self-limiting homeostatic response.",26315535,MiR-9-5p suppresses pro-fibrogenic transformation of fibroblasts and prevents organ fibrosis by targeting NOX4 and TGFBR2,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LIN28B,389421,Gene,mRNA,dysregulation,LIN28B,NA,Masson's trichrome staining; Immunohistochemistry; qRT-PCR etc.,no,Upregulation of Lin28B contributes to idiopathic pulmonary fibrosis. Lin28B causes epithelial-mesenchymal transition (EMT) by inhibition of let-7d. Lin28B is one of the targets of microRNA-26a. MiR-26a enhances the expression of let-7d via targeting regulation of Lin28B. A regulatory network among miRNAs involved in the progression of IPF.,26787543,MiR-26a suppresses EMT by disrupting the Lin28B/let-7d axis: potential cross-talks among miRNAs in IPF,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FOXO3,2309,Gene,mRNA,up-regulation,FOXO3A,NA,qRT-PCR;  In Situ Hybridization For miR-96 etc.,no,"When IPF fibroblasts interact with collagen-rich matrix, pathologically increased miR-96 expression inhibits FoxO3a function, causing IPF fibroblasts to maintain their pathological phenotype, which may contribute to the progression of IPF.",25172912,MicroRNA-96 inhibits FoxO3a function in IPF fibroblasts on type I collagen matrix,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCN4,8840,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; Immunohistochemistry;  etc.,no,"WISP1 enhanced fibrogenesis by inducing EMT of ATII cells and increasing collagen production by fibroblasts, indicating that WISP1 exerts its profibrotic effects by a multitude of autocrine and paracrine effects in the lung.",19287097,WNT1-inducible signaling protein-1 mediates pulmonary fibrosis in mice and is upregulated in humans with idiopathic pulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FZD2,2535,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"Wnt1, 7b and 10b, Fzd2 and 3, beta-catenin, and Lef4 expression was significantly increased in IPF.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FZD3,7976,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"Wnt1, 7b and 10b, Fzd2 and 3, beta-catenin, and Lef4 expression was significantly increased in IPF.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CTNNB1,1499,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"Wnt1, 7b and 10b, Fzd2 and 3, beta-catenin, and Lef4 expression was significantly increased in IPF.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ARHGEF3,50650,Gene,mRNA,histone acetylation,NA,NA,qRT-PCR;  Immunohistochemistry etc.,no,"XPLN depletion stimulated SPARC expression and Akt phosphorylation on Ser473. TGF-B1 treatment down-regulated XPLN via Smad 2/3. XPLN mRNA expression was up-regulated upon treatment with HDAC inhibitors in a concentration-dependent manner, and TGF-B1-induced SPARC expression was reversed by entinostat treatment. MTORC1 inhibition by rapamycin and Raptor depletion stimulated SPARC expression.",28315487,XPLN is modulated by HDAC inhibitors and negatively regulates SPARC expression by targeting mTORC2 in human lung fibroblasts,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SPARC,6678,Gene,mRNA,histone acetylation,NA,NA,qRT-PCR;  Immunohistochemistry etc.,no,"XPLN depletion stimulated SPARC expression and Akt phosphorylation on Ser473. TGF-B1 treatment down-regulated XPLN via Smad 2/3. XPLN mRNA expression was up-regulated upon treatment with HDAC inhibitors in a concentration-dependent manner, and TGF-B1-induced SPARC expression was reversed by entinostat treatment. MTORC1 inhibition by rapamycin and Raptor depletion stimulated SPARC expression.",28315487,XPLN is modulated by HDAC inhibitors and negatively regulates SPARC expression by targeting mTORC2 in human lung fibroblasts,2017
pancreas,pancreatitis,homo_sapiens,NFKB1,4790,Gene,mRNA,up-regulation,SURVIVIN; CIAP1,NA,qRT-PCR; rela transcription factor assay,no,"Islets in cp not only evade immune attack by nonexposure of functional death receptors in the presence of trail-r4 but also additionally neoexpress nfkappab and its target genes, survivin and ciap1, to protect themselves from apoptosis.",16127431,Parenchymal regression in chronic pancreatitis spares islets reprogrammed for the expression of NFkappaB and IAPs,2005
pancreas,pancreatitis,homo_sapiens,BIRC3,330,Gene,mRNA,up-regulation,SURVIVIN; CIAP1,NA,qRT-PCR; rela transcription factor assay,no,"Islets in cp not only evade immune attack by nonexposure of functional death receptors in the presence of trail-r4 but also additionally neoexpress nfkappab and its target genes, survivin and ciap1, to protect themselves from apoptosis.",16127431,Parenchymal regression in chronic pancreatitis spares islets reprogrammed for the expression of NFkappaB and IAPs,2005
pancreas,pancreatitis,homo_sapiens,NOTCH-2,4853,Gene,mRNA,dysregulation,NA,NOTCH SIGNALING PATHWAY,qRT-PCR; immunohistochemistry,no,"These findings suggest a possible role of the notch pathway during pancreatic regeneration since jagged-1 inhibits inducible collagen-1 production, suggesting a new mechanism of tissue repair in this disease.",17114010,Pancreatic regeneration in chronic pancreatitis requires activation of the notch signaling pathway,2006
pancreas,pancreatitis,homo_sapiens,NOTCH-3,4854,Gene,mRNA,dysregulation,NA,NOTCH SIGNALING PATHWAY,qRT-PCR; immunohistochemistry,no,"These findings suggest a possible role of the notch pathway during pancreatic regeneration since jagged-1 inhibits inducible collagen-1 production, suggesting a new mechanism of tissue repair in this disease.",17114010,Pancreatic regeneration in chronic pancreatitis requires activation of the notch signaling pathway,2006
pancreas,pancreatitis,homo_sapiens,NOTCH-4,4855,Gene,mRNA,dysregulation,NA,NOTCH SIGNALING PATHWAY,qRT-PCR; immunohistochemistry,no,"These findings suggest a possible role of the notch pathway during pancreatic regeneration since jagged-1 inhibits inducible collagen-1 production, suggesting a new mechanism of tissue repair in this disease.",17114010,Pancreatic regeneration in chronic pancreatitis requires activation of the notch signaling pathway,2006
pancreas,cystic_fibrosis,homo_sapiens,CFTR,1080,Gene,mRNA,dysregulation,NA,NA,NA,no,"We conclude that severe reduction in cftr mrna causes cf, but can have different consequences in the lung and pancreas.",1721624,Severe deficiency of cystic fibrosis transmembrane conductance regulator messenger RNA carrying nonsense mutations R553X and W1316X in respiratory epithelial cells of patients with cystic fibrosis,1991
pancreas,cystic_fibrosis,homo_sapiens,W1316X,NA,NA,mRNA,dysregulation,NA,NA,NA,no,"We conclude that severe reduction in cftr mrna causes cf, but can have different consequences in the lung and pancreas.",1721624,Severe deficiency of cystic fibrosis transmembrane conductance regulator messenger RNA carrying nonsense mutations R553X and W1316X in respiratory epithelial cells of patients with cystic fibrosis,1991
skin,scleroderma_systemic,homo_sapiens,CCR7,1236,Gene,mRNA,dysregulation,NA,NA,RT-PCR,no,"We could confirm data of previous studies indicating that gene expression of il-6 is up-regulated in ls lesions as compared to healthy skin. Moreover, we have shown for the first time a significant increase of mrna levels of ccr7 and ccl5;Rantes in ls lesions indicating an important pathogenetic role of chemokines in ls.",21616095,Significantly increased CCL5/RANTES and CCR7 mRNA levels in localized scleroderma,2011
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LGALS3,3958,Gene,mRNA,up-regulation,NA,NA,Fluorescence intensity,yes,"Galectin (Gal)-3 is a central regulator of fibrosis in the lung with expression upregulated in bronchoalveolar lavage (BAL) fluid and serum of IPF patients, and further elevation observed during exacerbations. The profibrotic function of Gal-3 is multifactorial due to its ability to cross-link and promote signalling via multiple cell surface receptors including integrins and growth factor receptors, such as transforming growth factor-beta, vascular endothelial growth factor and platelet-derived growth factor (PDGF) receptors. Constitutive global deficiency of Gal-3 leads to attenuated fibrosis in murine models.",33214209,Target inhibition of galectin-3 by inhaled TD139 in patients with idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NES,10763,Gene,mRNA,up-regulation,TbetaRI,TGF-BETA SIGNALING PATHWAY,qRT-PCR; Immunohistochemistry; Immunofluorescence etc.,no,"Nestin regulates the vesicular trafficking system by promoting recycling of TbetaRI to the cell membrane through Rab11 and thereby contributes to the progression of pulmonary fibrosis. More importantly, precise targeting of Nestin expression within lung myofibroblasts can alleviate lung fibrogenesis and may represent a potential therapeutic strategy for IPF.",34625478,Nestin promotes pulmonary fibrosis?via?facilitating recycling of TGF-beta receptor I,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IGF1,3479,Gene,mRNA,up-regulation,NA,IGF1 SIGNALING PATHWAY,ELISA; Immunofluorescence; RT-PCR etc.,no,"Western blotting showed that the levels of IGF1, IGFR-1, PI3K, AKT and p-AKT in lung tissues of patients with IPF were significantly higher than those in normal lung tissues. This indicated that the IGF1 signaling pathway is activated in IPF conditions.",34329195,Regulation of the IGF1 signaling pathway is involved in idiopathic pulmonary fibrosis induced by alveolar epithelial cell senescence and core fucosylation,2021
